phase,scope,current_concentration,target_boundary,risk_score,primary_acceptance
STEP590B,Callback router and ownership,542 registry actions map directly to bot.js,src/bot/router and explicit registrations,15,"unique ownership; real dispatch reachability; action/guard parity"
STEP590C1,Admin auth,critical auth callback plus legacy composition,domains/adminAuth,14,"auth suite; browser/actor binding unchanged; no unknown_callback"
STEP590C2,Payments,direct/admin payment callbacks around canonical core,domains/payments,18,"X1 66 assertions; payload and side-effect parity"
STEP590C3,Giveaways,67 actions plus atomic core integration,domains/giveaways,17,"X2 55 assertions; winner/audit parity"
STEP590C4,Broadcasts,27 broadcast actions and admin communications,domains/broadcasts,17,"X3 35 assertions; no-resend unknown-state parity"
STEP590D,Navigation/shared UX,menu/home/recovery/input-mode utilities,domains/navigation and bot/shared,12,"copy/key parity; degraded mode; stale-button contract"
STEP590E1,Applications and leads,52 actions across application/lead flows,domains/applications and domains/leads,13,"dialog/deal/input-mode contracts"
STEP590E2,Barter,84 actions and 59 DB exports,domains/barter and db/barter.js,14,"offer/thread/report lifecycle parity"
STEP590E3,Workspaces and directory,72 actions and 40 DB exports,domains/workspaces/directory,14,"role/contact/folder parity"
STEP590E4,Brands and curation,70 actions across brand/curation surfaces,domains/brands and domains/curation,13,"profile/directory/curator parity"
STEP590E5,Admin and moderation,98 actions excluding separated subdomains,domains/admin and domains/moderation,15,"privilege/audit/guard parity"
STEP590E6,Support verification sharing account,18 actions,corresponding bounded domains,12,"input/recovery/privacy parity"
STEP590F,DB decomposition,328 exports in queries.js,domain DB modules plus compatibility facade,16,"export/signature/SQL/transaction parity"
STEP590G,Cron jobs,2216-line cron.js,src/jobs modules plus one runner,16,"locks/budgets/receipts/function budget parity"
STEP590H,Admin web client,4667-line single script,scripts/admin-web modules bundled as one asset,11,"browser/API/copy parity"
STEP590I,Architecture gates,manual architecture discipline,automated ownership/dependency/size gates,10,"gates fail on duplicate owner cycle or forbidden import"
STEP590J,Legacy retirement,compatibility branches and facades,small composition roots,14,"no consumers; full regression; production canary"
